 Total Nb of available Diagnostics: ndiagt=   274
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    71 |WdRHO_P | 52 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    72 |WdRHOdP | 52 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    73 |PHIHYD  | 52 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    74 |PHIHYDSQ| 52 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    75 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    76 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    77 |PHI_NH  | 52 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Pressure Pot.(p/rho)
    78 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    79 |DRHODR  | 52 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    80 |CONVADJ | 52 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    81 |oceTAUX |  1 |    82 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    82 |oceTAUY |  1 |    81 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    83 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading
    84 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    85 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    86 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    87 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    88 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    89 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    90 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    91 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    92 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    93 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    94 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    95 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    96 |RCENTER | 52 |       |SM      MR|m               |Cell-Center Height
    97 |RSURF   |  1 |       |SM      M1|m               |Surface Height
